観測所番号 府県番号 地点コード 観測所名 経度 緯度
32126 32 184 鷹巣 140.3717 40.2267
32136 32 912 大館 140.5050 40.2517
32146 32 185 鹿角 140.7867 40.2150
32181 32 1463 脇神 140.3717 40.1917
32206 32 186 湯瀬 140.8400 40.1200
32266 32 1289 八幡平 140.8017 40.0133
32276 32 1422 男鹿真山 139.7817 39.9383
32286 32 1036 男鹿 139.9000 39.9117
32287 32 1035 大潟 139.9500 40.0000
32296 32 188 五城目 140.1150 39.9383
32311 32 1131 阿仁合 140.4033 39.9933
32312 32 1115 比立内 140.4500 39.9033
32376 32 1278 桧木内 140.5850 39.8117
32402 32 47582 秋田 140.0983 39.7167
32407 32 192 岩見三内 140.2867 39.7067
32408 32 1425 仁別 140.2167 39.8000
32426 32 1167 鎧畑 140.6517 39.7900
32451 32 1511 雄和 140.2183 39.6150
32466 32 193 角館 140.5567 39.6033
32476 32 194 田沢湖 140.7317 39.6983
32496 32 1050 大正寺 140.2333 39.5267
32551 32 195 大曲 140.4950 39.4900
32571 32 196 本荘 140.0550 39.3600
32581 32 1117 東由利 140.2883 39.3050
32596 32 198 横手 140.5550 39.3200
32616 32 199 象潟 139.9017 39.2217
32626 32 200 矢島 140.1367 39.2350
32681 32 1407 笹子 140.2933 39.1033
32691 32 202 湯沢 140.4633 39.1867
32701 32 1109 東成瀬 140.6483 39.1783
32771 32 204 湯の岱 140.5283 38.9600
33006 33 205 種市 141.7000 40.4033
33026 33 206 軽米 141.4733 40.3167
33071 33 207 二戸 141.2983 40.2967
33086 33 1037 大野 141.6667 40.2800
33136 33 1219 山形 141.5717 40.1483
33146 33 209 久慈 141.7750 40.1883
33166 33 1120 荒屋 141.0500 40.1033
33176 33 1215 奥中山 141.2250 40.0600
33186 33 211 葛巻 141.4367 40.0383
33201 33 1332 下戸鎖 141.7117 40.0833
33206 33 1123 普代 141.8833 40.0033
33226 33 214 岩手松尾 141.0650 39.9517
33296 33 1032 好摩 141.1667 39.8683
33326 33 218 岩泉 141.7967 39.8467
33336 33 1212 小本 141.9533 39.8400
33351 33 1168 葛根田 140.9450 39.7750
33361 33 1560 滝沢 141.0967 39.7800
33371 33 1078 藪川 141.3283 39.7833
33421 33 221 雫石 140.9750 39.6967
33431 33 47584 盛岡 141.1650 39.6983
33441 33 1447 区界 141.3533 39.6500
33461 33 1627 刈屋 141.7733 39.6417
33472 33 47585 宮古 141.9650 39.6467
33501 33 1128 紫波 141.1267 39.5467
33526 33 1224 川井 141.6817 39.5983
33561 33 1118 沢内 140.7983 39.4800
33566 33 226 豊沢 140.9683 39.4800
33576 33 227 花巻 141.1350 39.4283
33581 33 228 大迫 141.2783 39.4700
33596 33 1563 附馬牛 141.5067 39.4567
33611 33 1508 大槌 141.8067 39.4383
33616 33 1033 山田 141.9567 39.4500
33631 33 229 湯田 140.7767 39.3100
33671 33 231 遠野 141.5383 39.3367
33686 33 1628 小鎚 141.8783 39.3600
33711 33 1558 金ヶ崎 141.0150 39.2250
33716 33 230 北上 141.1100 39.2883
33726 33 1113 米里 141.3100 39.2333
33751 33 233 釜石 141.8700 39.2733
33776 33 235 若柳 141.0633 39.1317
33781 33 236 江刺 141.1617 39.1833
33801 33 1206 住田 141.5733 39.1417
33831 33 1028 祭畤 140.8650 39.0100
33841 33 1045 衣川 141.0450 39.0500
33856 33 1557 大東 141.2967 39.0383
33871 33 1629 陸前高田 141.6300 39.0250
33877 33 47512 大船渡 141.7133 39.0633
33911 33 238 一関 141.1250 38.9333
33921 33 239 千厩 141.3300 38.9217
34012 34 1126 駒ノ湯 140.8283 38.9133
34026 34 242 気仙沼 141.5550 38.9083
34056 34 1526 鴬沢 140.9483 38.8050
34096 34 243 川渡 140.7600 38.7433
34111 34 244 築館 141.0050 38.7350
34171 34 1029 米山 141.1883 38.6267
34186 34 246 志津川 141.4483 38.6817
34206 34 1561 加美 140.7267 38.5717
34216 34 247 古川 140.9117 38.5983
34231 34 1630 桃生 141.2450 38.5600
34241 34 985 雄勝 141.4700 38.5217
34262 34 1365 泉ケ岳 140.7217 38.4067
34266 34 248 大衡 140.8883 38.4733
34276 34 249 鹿島台 141.0917 38.4600
34286 34 1631 東松島 141.2133 38.4267
34292 34 47592 石巻 141.2983 38.4267
34296 34 1626 女川 141.4400 38.4533
34311 34 251 新川 140.6367 38.3033
34331 34 1030 塩釜 141.0133 38.3383
34361 34 1290 江ノ島 141.5967 38.3983
34392 34 47590 仙台 140.8967 38.2617
34431 34 1632 岩沼 140.8767 38.1067
34436 34 1464 名取 140.9167 38.1383
34461 34 256 白石 140.6117 38.0150
34462 34 1564 蔵王 140.6800 38.1267
34471 34 257 亘理 140.8583 38.0250
34506 34 1220 丸森 140.7783 37.9317
34526 34 1298 筆甫 140.7283 37.8267
35002 35 1291 飛島 139.5433 39.1833
35052 35 47587 酒田 139.8433 38.9083
35061 35 1038 上草津 140.0283 38.9950
35071 35 260 差首鍋 140.2000 38.9183
35086 35 1465 浜中 139.7867 38.8117
35116 35 262 金山 140.3317 38.8783
35141 35 263 鶴岡 139.8283 38.7350
35146 35 264 狩川 139.9733 38.8000
35162 35 47520 新庄 140.3117 38.7567
35171 35 266 瀬見 140.4133 38.7550
35176 35 910 向町 140.5167 38.7583
35201 35 268 櫛引 139.8483 38.6717
35216 35 1125 肘折 140.1633 38.6067
35231 35 1039 尾花沢 140.4117 38.6083
35246 35 1040 鼠ケ関 139.5517 38.5667
35256 35 1357 荒沢 139.7817 38.5067
35332 35 1539 村山 140.3483 38.4600
35334 35 1488 東根 140.3700 38.4117
35361 35 1292 大井沢 139.9933 38.3900
35376 35 272 左沢 140.1917 38.3700
35426 35 47588 山形 140.3450 38.2550
35456 35 275 長井 140.0150 38.1050
35466 35 1562 上山中山 140.2133 38.1167
35486 35 277 小国 139.7350 38.0783
35511 35 1132 高畠 140.2067 38.0033
35537 35 1372 中津川 139.8433 37.9100
35541 35 278 高峰 139.9567 37.9983
35552 35 279 米沢 140.1433 37.9117
36056 36 1293 茂庭 140.4367 37.8917
36066 36 281 梁川 140.5883 37.8517
36081 36 1633 新地 140.9183 37.8750
36106 36 1282 桧原 140.0583 37.7217
36126 36 47595 福島 140.4700 37.7583
36151 36 285 相馬 140.9250 37.7833
36176 36 286 喜多方 139.8633 37.6583
36196 36 1116 鷲倉 140.2600 37.6683
36221 36 1130 飯舘 140.7467 37.6950
36231 36 288 原町 140.9850 37.6383
36251 36 1031 西会津 139.6567 37.5883
36276 36 290 猪苗代 140.1217 37.5550
36291 36 291 二本松 140.4300 37.5833
